algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,skew_mode,exclude_top_k,workload_mode
qlearning_balancer[lru],0.011,0.9973860424507803,2.9306319751496686,irm,2,10,10000,21,0.0,index,10,uniform
qlearning_balancer[oracle],0.0118,0.996818168444614,3.2336409985018286,irm,2,10,10000,21,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9967105823925532,3.2879145529316043,irm,2,10,10000,21,0.0,index,10,uniform
Optimal_QLRU,0.0424,0.9999888332490011,0.19146388051101135,irm,2,10,10000,17,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0089,0.9941496322422603,4.386706629128308,irm,2,10,10000,17,0.0,index,10,uniform
qlearning_balancer[lru],0.0093,0.9942764798912186,4.338797620229412,irm,2,10,10000,17,0.0,index,10,uniform
qlearning_balancer[oracle],0.0107,0.9934423605470828,4.644855449959597,irm,2,10,10000,17,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9946150547140088,4.208272238660335,irm,2,10,10000,17,0.0,index,10,uniform
Optimal_QLRU,0.0131,0.9999999897327604,0.005805631730951281,irm,2,10,10000,16,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0136,0.9992624848981114,1.5561859458125171,irm,2,10,10000,16,0.0,index,10,uniform
qlearning_balancer[lru],0.0114,0.9994399393386343,1.3560656455809121,irm,2,10,10000,16,0.0,index,10,uniform
qlearning_balancer[oracle],0.01,0.9998787451891614,0.6309295941456039,irm,2,10,10000,16,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9997901367871914,0.8300533039777701,irm,2,10,10000,16,0.0,index,10,uniform
Optimal_QLRU,0.0451,0.9997087050900247,0.9779353998645647,irm,2,10,10000,18,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0019,0.9888702747654563,6.0558311569139125,irm,2,10,10000,18,0.0,index,10,uniform
qlearning_balancer[lru],0.0088,0.9882196881528493,6.2309952567605995,irm,2,10,10000,18,0.0,index,10,uniform
qlearning_balancer[oracle],0.0091,0.9882172971172485,6.231630078457965,irm,2,10,10000,18,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9888702747654566,6.055831156913852,irm,2,10,10000,18,0.0,index,10,uniform
Optimal_QLRU,0.0202,0.9999299638253367,0.47950033011003584,irm,2,10,10000,19,0.0,index,10,uniform
qlearning_balancer[qlearn],0.011,0.9912722295451181,5.360534046847126,irm,2,10,10000,19,0.0,index,10,uniform
qlearning_balancer[lru],0.0111,0.9963839720519692,3.4474708777082905,irm,2,10,10000,19,0.0,index,10,uniform
qlearning_balancer[oracle],0.0105,0.9962834327356658,3.495127414378647,irm,2,10,10000,19,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9966515419422993,3.317322785276834,irm,2,10,10000,19,0.0,index,10,uniform
Optimal_QLRU,0.0331,0.999957547864542,0.37331503046480125,irm,2,10,10000,20,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0107,0.9847776035272264,7.087159107341339,irm,2,10,10000,20,0.0,index,10,uniform
qlearning_balancer[lru],0.0109,0.9878913781419412,6.317574318141056,irm,2,10,10000,20,0.0,index,10,uniform
qlearning_balancer[oracle],0.0114,0.9876101023370891,6.390832056544795,irm,2,10,10000,20,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9847776026166586,7.087159320397612,irm,2,10,10000,20,0.0,index,10,uniform
