q_f,delta_jfi
0.26323781693951653,0.00132821791861093
0.0,-0.001642042537718158
0.0,-0.0015573396145786012
0.0,-0.0014744152408892042
0.24261898273103044,0.0012082122906439396
0.24686377780696955,0.0012326485285952815
0.0,-0.0014907467334003277
0.24292240587056657,0.0012099544723703781
0.246919760893067,0.0012329717287840047
0.2506922496212597,0.0012548065137961695
0.25424997633789637,0.001275499234165256
0.0,-0.0015950770724626473
0.25037975029623827,0.001252993627870902
0.2537351881972204,0.0012724989833059475
0.0,-0.0016047109214731847
0.2499451964571936,0.001250473929265028
0.0,-0.0015719881034458316
0.0,-0.0014989359537743718
0.23923512417820647,0.0011888301575798677
0.0,-0.0014687886196734778
0.0,-0.0013986927155896778
0.22864294655041828,0.0011287126446698492
0.0,-0.0013709470900308274
0.0,-0.0013036801822574606
0.2181812189796195,0.001070140448338197
0.22188249988421072,0.0010907727729605465
0.0,-0.0013178482038963546
0.0,-0.00125340070503277
0.0,-0.00119019432908829
0.0,-0.001128221889739267
0.19769211590689817,0.0009576645626376834
0.0,-0.0011067487762913553
0.1947304148789012,0.0009416442142476944
0.0,-0.0010858775478426175
0.19183056834879664,0.000926015433938443
0.19579155177010243,0.000947377301907526
0.0,-0.001102925459199544
0.19292771775254658,0.0009319219375799603
0.19668836220251007,0.0009522284713970874
0.20027958929650513,0.000971709126171838
0.20370776419223013,0.0009903870873994025
0.0,-0.0011890317884007962
0.20084771028012816,0.0009747989172933513
0.0,-0.0011676071510692276
0.0,-0.0011129492389545526
0.1919118347807217,0.0009264526567099862
0.0,-0.0010931491729556653
0.0,-0.001040514427553818
0.0,-0.0009888402439848232
0.17692177850541868,0.0008465392977310415
0.1805492597832431,0.0008657434441889933
0.184025321493118,0.0008842258945264136
0.18735528827765935,0.0009020055387051196
0.0,-0.001068618691148271
0.1848097845995812,0.0008884078254081107
0.0,-0.0010503213854826665
0.0,-0.0010015832031794458
0.0,-0.0009537012944862422
0.17080865002682977,0.000814366653255294
0.1742014977596692,0.0008321933879970045
0.0,-0.0009681240106096389
0.0,-0.0009219690865290842
0.16621559011128306,0.0007903496146656197
0.16956557971542696,0.0008078535529704167
0.0,-0.0009362997668864725
0.16731290729402803,0.0007960754191032038
0.17051250556488218,0.0008128141108385556
0.1735875636054226,0.000828962227868546
0.0,-0.0009780242534732642
0.0,-0.0009343477536848388
0.0,-0.0008914037226297467
0.0,-0.0008491876873953919
0.0,-0.0008076948881872159
0.15010464081864683,0.000707139321397876
0.15344468071356754,0.0007242596910436161
0.0,-0.0008224522115448663
0.0,-0.0007823663907192691
0.14620690739891573,0.0006872451951077663
0.0,-0.000770143623727626
0.14431225053877417,0.0006776076002396048
0.14757940568031924,0.0006942400811118521
0.1507313741609253,0.0007103466959923477
0.153771629675452,0.0007259391935718895
0.15670353145006077,0.0007410291307218264
0.0,-0.0008617954324060539
0.0,-0.0008237035897168399
0.14995322966701985,0.0007063648134364442
0.0,-0.0008112586594909432
0.1480946315735937,0.0006968688184504357
0.15097110791382673,0.0007115741848872092
0.0,-0.0008234584766299013
0.0,-0.0007871939216395063
