algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
qlearning_balancer[oracle],0.0122,0.9763290278241213,8.850322776186426,irm,2,10,10000,25,0.0,uniform
qlearning_balancer[nocache],0.0,0.976206513342144,8.873381043824256,irm,2,10,10000,25,0.0,uniform
Optimal_QLRU,0.0442,0.9999747804420752,0.2877353313248949,irm,2,10,10000,20,0.0,uniform
qlearning_balancer[qlearn],0.0045,0.959108552052561,11.666594538592156,irm,2,10,10000,20,0.0,uniform
qlearning_balancer[lru],0.0109,0.9654074044554077,10.718906471296357,irm,2,10,10000,20,0.0,uniform
qlearning_balancer[oracle],0.0102,0.9652840822365291,10.738222346826914,irm,2,10,10000,20,0.0,uniform
qlearning_balancer[nocache],0.0,0.9591085520532625,11.666594538490676,irm,2,10,10000,20,0.0,uniform
Optimal_QLRU,0.0097,0.9999514551079045,0.39920678709047863,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[qlearn],0.0186,0.973181112315889,9.425482802127394,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[lru],0.0117,0.9795072882976241,8.230324008700366,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[oracle],0.0107,0.9794723137019379,8.237393049400842,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[nocache],0.0,0.976806805651519,8.759839668853099,irm,2,10,10000,22,0.0,uniform
Optimal_QLRU,0.0123,0.9986362243343766,2.116376173977416,irm,2,10,10000,21,0.0,uniform
qlearning_balancer[qlearn],0.0111,0.9941295950025911,4.394227079901339,irm,2,10,10000,21,0.0,uniform
qlearning_balancer[lru],0.011,0.9927401049634698,4.887814286615109,irm,2,10,10000,21,0.0,uniform
qlearning_balancer[oracle],0.0107,0.992038328728844,5.119207438125855,irm,2,10,10000,21,0.0,uniform
qlearning_balancer[nocache],0.0,0.9920310241003459,5.121561542114371,irm,2,10,10000,21,0.0,uniform
Optimal_QLRU,0.025,0.9999973070420975,0.09402375890223752,irm,2,10,10000,23,0.0,uniform
qlearning_balancer[qlearn],0.0099,0.9976811808606144,2.760095157924437,irm,2,10,10000,23,0.0,uniform
qlearning_balancer[lru],0.0113,0.9970093024982705,3.1349136875206502,irm,2,10,10000,23,0.0,uniform
qlearning_balancer[oracle],0.0096,0.9976811808606144,2.760095157924437,irm,2,10,10000,23,0.0,uniform
qlearning_balancer[nocache],0.0,0.9967884344798043,3.2487310616254392,irm,2,10,10000,23,0.0,uniform
Optimal_QLRU,0.0138,0.9998469888046466,0.7087536562915656,irm,2,10,10000,27,0.0,uniform
qlearning_balancer[qlearn],0.0116,0.9974060028031204,2.919411552481659,irm,2,10,10000,27,0.0,uniform
qlearning_balancer[lru],0.0109,0.9972938626699054,2.9819037414969287,irm,2,10,10000,27,0.0,uniform
qlearning_balancer[oracle],0.0096,0.9974055670401356,2.919656969142741,irm,2,10,10000,27,0.0,uniform
qlearning_balancer[nocache],0.0,0.9973700946830887,2.939566109242356,irm,2,10,10000,27,0.0,uniform
Optimal_QLRU,0.0016,0.999990971212252,0.1721622808749431,irm,2,10,10000,29,0.0,uniform
qlearning_balancer[qlearn],0.0044,0.9998589869503232,0.6803971602930741,irm,2,10,10000,29,0.0,uniform
