algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
qlearning_balancer[qlearn],0.09,0.9649914373212571,10.783927193334677,irm,2,10,10000,28,0.0,uniform
qlearning_balancer[lru],0.0824,0.9827181736619018,7.553989102379434,irm,2,10,10000,28,0.0,uniform
qlearning_balancer[oracle],0.0968,0.9903729337047044,5.630784635022866,irm,2,10,10000,28,0.0,uniform
qlearning_balancer[nocache],0.0,0.9633907813578682,11.030724336033034,irm,2,10,10000,28,0.0,uniform
Optimal_QLRU,0.1827,0.9747309082891322,9.146683945619772,irm,10,10,10000,4,0.0,uniform
qlearning_balancer[qlearn],0.1117,0.8109174438285068,25.774874074962312,irm,10,10,10000,4,0.0,uniform
qlearning_balancer[lru],0.0841,0.7784498083581105,28.079172205704744,irm,10,10,10000,4,0.0,uniform
qlearning_balancer[oracle],0.134,0.8301486230477142,24.338726795847762,irm,10,10,10000,4,0.0,uniform
qlearning_balancer[nocache],0.0,0.6984915575279091,33.30514330208762,irm,10,10,10000,4,0.0,uniform
Optimal_QLRU,0.1843,0.9858576823354417,6.829862044483366,irm,10,10,10000,5,0.0,uniform
qlearning_balancer[qlearn],0.0696,0.8362456893860228,23.870178476952656,irm,10,10,10000,5,0.0,uniform
qlearning_balancer[lru],0.0883,0.8331762173477357,24.106917837773032,irm,10,10,10000,5,0.0,uniform
qlearning_balancer[oracle],0.1379,0.8073072202460714,26.038044905128626,irm,10,10,10000,5,0.0,uniform
qlearning_balancer[nocache],0.0,0.8589137054253202,22.062301229446557,irm,10,10,10000,5,0.0,uniform
Optimal_QLRU,0.191,0.9725441840615219,9.537783123127008,irm,10,10,10000,7,0.0,uniform
qlearning_balancer[qlearn],0.1004,0.8676316177283155,21.335268081070936,irm,10,10,10000,7,0.0,uniform
qlearning_balancer[lru],0.0829,0.8587127789946043,22.07883163020673,irm,10,10,10000,7,0.0,uniform
qlearning_balancer[oracle],0.1318,0.8757368466432686,20.64090224885062,irm,10,10,10000,7,0.0,uniform
qlearning_balancer[nocache],0.0,0.8611452966434634,21.878039341105392,irm,10,10,10000,7,0.0,uniform
Optimal_QLRU,0.1506,0.9975144277833263,2.8576951728459528,irm,2,10,10000,29,0.0,uniform
qlearning_balancer[qlearn],0.0902,0.9886990402993189,6.102414411935629,irm,2,10,10000,29,0.0,uniform
qlearning_balancer[lru],0.0798,0.9801573850054078,8.097834697088592,irm,2,10,10000,29,0.0,uniform
qlearning_balancer[oracle],0.0803,0.9870198385810259,6.541942436142251,irm,2,10,10000,29,0.0,uniform
qlearning_balancer[nocache],0.0,0.9887041898643082,6.101018614558081,irm,2,10,10000,29,0.0,uniform
Optimal_QLRU,0.1825,0.9864655622232833,6.680781927410604,irm,10,10,10000,1,0.0,uniform
qlearning_balancer[qlearn],0.0596,0.9064736918010529,17.80754674212927,irm,10,10,10000,1,0.0,uniform
qlearning_balancer[lru],0.0859,0.9212295255284592,16.29964618288469,irm,10,10,10000,1,0.0,uniform
qlearning_balancer[oracle],0.1263,0.927620873098694,15.606773935425613,irm,10,10,10000,1,0.0,uniform
qlearning_balancer[nocache],0.0,0.9193325349672432,16.500289191881098,irm,10,10,10000,1,0.0,uniform
Optimal_QLRU,0.1613,0.985084330144797,7.015031075965265,irm,10,10,10000,9,0.0,uniform
qlearning_balancer[qlearn],0.0519,0.8859511925976297,19.737484958763293,irm,10,10,10000,9,0.0,uniform
qlearning_balancer[lru],0.0758,0.8828382908843417,20.01638933374938,irm,10,10,10000,9,0.0,uniform
qlearning_balancer[oracle],0.1237,0.8424996086796499,23.382227200619127,irm,10,10,10000,9,0.0,uniform
qlearning_balancer[nocache],0.0,0.8929691738232933,19.09622628984343,irm,10,10,10000,9,0.0,uniform
Optimal_QLRU,0.1689,0.9894769043528536,5.887881143824804,irm,10,10,10000,2,0.0,uniform
qlearning_balancer[qlearn],0.0867,0.9038308467782237,18.06595117308542,irm,10,10,10000,2,0.0,uniform
qlearning_balancer[lru],0.0853,0.9023455805634703,18.209780202253935,irm,10,10,10000,2,0.0,uniform
qlearning_balancer[oracle],0.1379,0.892322690191559,19.15605391473394,irm,10,10,10000,2,0.0,uniform
qlearning_balancer[nocache],0.0,0.8717493808795075,20.984842259526793,irm,10,10,10000,2,0.0,uniform
Optimal_QLRU,0.1738,0.9862011733169362,6.746019573431006,irm,10,10,10000,3,0.0,uniform
qlearning_balancer[qlearn],0.0603,0.8150034208066673,25.474686350113583,irm,10,10,10000,3,0.0,uniform
qlearning_balancer[lru],0.075,0.8125541781725588,25.65492951854643,irm,10,10,10000,3,0.0,uniform
qlearning_balancer[oracle],0.1254,0.8534405321919643,22.509143284476366,irm,10,10,10000,3,0.0,uniform
qlearning_balancer[nocache],0.0,0.7757343869734614,28.266082269798726,irm,10,10,10000,3,0.0,uniform
Optimal_QLRU,0.1826,0.9802296474890797,8.082977184888097,irm,10,10,10000,12,0.0,uniform
qlearning_balancer[qlearn],0.0774,0.7999137030600926,26.571231240230343,irm,10,10,10000,12,0.0,uniform
qlearning_balancer[lru],0.0803,0.8067600573084013,26.077766143962638,irm,10,10,10000,12,0.0,uniform
qlearning_balancer[oracle],0.1316,0.7738491798162953,28.395373165676087,irm,10,10,10000,12,0.0,uniform
qlearning_balancer[nocache],0.0,0.7836440021886153,27.719337127556503,irm,10,10,10000,12,0.0,uniform
Optimal_QLRU,0.1826,0.9983732980849375,2.3115028662000925,irm,10,10,10000,13,0.0,uniform
qlearning_balancer[qlearn],0.0653,0.8291712868901714,24.413204891626904,irm,10,10,10000,13,0.0,uniform
qlearning_balancer[lru],0.0832,0.8482810928797276,22.924082845454944,irm,10,10,10000,13,0.0,uniform
qlearning_balancer[oracle],0.1391,0.8396012081559061,23.609325781550023,irm,10,10,10000,13,0.0,uniform
qlearning_balancer[nocache],0.0,0.8337313265624047,24.064234040238304,irm,10,10,10000,13,0.0,uniform
Optimal_QLRU,0.1439,0.9826325659382332,7.572785251917159,irm,10,10,10000,6,0.0,uniform
qlearning_balancer[qlearn],0.0703,0.9228857177904088,16.122658372408974,irm,10,10,10000,6,0.0,uniform
qlearning_balancer[lru],0.0809,0.9083058914165333,17.626477762056027,irm,10,10,10000,6,0.0,uniform
qlearning_balancer[oracle],0.1216,0.9013914690340371,18.301659402605132,irm,10,10,10000,6,0.0,uniform
qlearning_balancer[nocache],0.0,0.9003370254759243,18.40274111395801,irm,10,10,10000,6,0.0,uniform
Optimal_QLRU,0.1801,0.9797260761507485,8.1859680610341,irm,10,10,10000,8,0.0,uniform
qlearning_balancer[qlearn],0.055,0.9130135306965533,17.153620931176118,irm,10,10,10000,8,0.0,uniform
qlearning_balancer[lru],0.0836,0.9289578237470184,15.458324347046803,irm,10,10,10000,8,0.0,uniform
qlearning_balancer[oracle],0.1234,0.9415597690406067,13.989504016933886,irm,10,10,10000,8,0.0,uniform
qlearning_balancer[nocache],0.0,0.9131090212673555,17.143911438274596,irm,10,10,10000,8,0.0,uniform
